id,duration,start_station_id,end_station_id
4576,63,66,66
4607,70,10,10
4130,71,27,27
4251,77,10,10
4299,83,66,67
4927,103,59,59
4500,109,4,5
4563,111,8,8
4760,113,66,66
4258,114,10,11
4549,125,49,54
4498,126,6,4
4965,129,28,28
4557,130,64,64
4386,134,41,56
4749,138,47,47
4242,141,10,10
4329,142,67,67
5097,142,74,50
5084,144,39,76
4982,146,49,54
4417,148,22,22
4265,151,58,58
5093,160,47,77
4168,161,56,74
4550,163,9,9
4533,165,55,51
4510,166,3,8
5070,168,66,66
4917,169,26,25
4276,173,61,64
4378,173,72,72
4069,174,64,64
4625,175,58,66
4086,178,45,45
5088,183,76,47
4721,184,67,66
4636,186,62,61
4812,186,62,62
4720,188,67,66
4798,188,39,76
4944,188,41,46
4400,189,46,41
4606,191,10,10
4705,193,59,58
4841,197,35,37
4704,204,59,58
4824,207,67,66
4854,209,68,57
4502,210,5,3
4638,211,74,50
4855,214,68,57
4994,214,71,76
4459,215,67,72
5074,216,69,69
4081,218,27,27
4337,219,73,45
4401,222,48,50
4411,223,61,69
4467,225,75,41
4765,228,66,67
5001,236,62,77
5002,236,59,66
4560,237,66,58
4592,239,47,77
4673,239,70,65
4714,240,11,12
4748,240,50,56
4317,241,58,66
4559,242,66,58
4880,242,41,46
4668,243,69,65
4667,244,69,65
4443,245,77,74
5105,245,65,70
4341,252,58,66
4423,254,50,41
4911,259,58,66
4504,262,72,67
4584,262,66,66
4599,265,60,42
4801,265,58,58
4870,266,76,56
4743,267,30,28
4799,267,42,74
5006,269,76,71
4686,273,77,55
4906,277,35,37
4177,278,70,64
4436,284,60,48
5057,284,68,77
4084,287,27,27
4595,288,60,42
4377,289,77,55
4600,291,6,10
4959,292,65,69
4828,293,34,35
4450,298,48,42
4558,298,54,50
4657,298,57,57
4796,305,72,76
4331,307,35,37
4280,309,58,66
4290,309,39,67
4876,309,61,69
4766,315,23,23
4871,316,57,70
5078,318,72,39
4744,319,57,70
4376,320,41,50
4392,323,50,48
4602,323,45,42
5100,323,74,49
4448,324,48,42
4722,327,8,3
4850,327,37,35
4615,332,76,63
4582,335,62,62
4640,335,64,70
4805,336,4,10
4715,337,70,65
4941,337,48,50
4454,340,77,46
4647,340,59,39
4750,342,68,39
4393,343,45,77
4822,343,10,6
4300,346,47,50
4968,346,54,49
4890,347,42,56
5075,348,66,72
4570,351,50,46
4278,353,50,45
4399,355,22,26
4660,355,71,47
4745,360,51,55
4955,360,59,67
4785,361,68,70
4730,362,65,70
4786,362,67,59
4447,363,74,49
5032,363,3,6
4312,369,45,75
4695,369,65,70
4700,369,42,73
4875,370,60,42
4659,371,71,47
4998,374,50,49
4496,375,65,70
4716,375,70,65
4527,376,68,39
4612,376,13,9
4204,378,10,10
4731,378,56,45
4883,378,76,63
4517,379,8,10
4429,380,60,48
4699,380,42,73
4434,384,68,69
4408,385,57,71
4961,387,55,57
5099,387,3,2
4725,388,54,74
4347,389,10,6
